"muniid","municipality","hosp_number","population","hosp_number_per_inhabitants","date"
"109","Coevorden",7,35296,19.8,"2020-04-05"
"1706","Cranendonck",44,21166,207.9,"2020-04-05"
"1684","Cuijk",7,25139,27.8,"2020-04-05"
"216","Culemborg",19,28956,65.6,"2020-04-05"
"148","Dalfsen",10,28585,35,"2020-04-05"
"1891","Dantumadiel",2,18916,10.6,"2020-04-05"
"310","De Bilt",17,43124,39.4,"2020-04-05"
"1940","De Fryske Marren",12,51567,23.3,"2020-04-05"
"736","De Ronde Venen",18,44457,40.5,"2020-04-05"
"1690","De Wolden",2,24327,8.2,"2020-04-05"
"503","Delft",27,103659,26,"2020-04-05"
"10","Delfzijl",5,24666,20.3,"2020-04-05"
"400","Den Helder",8,56305,14.2,"2020-04-05"
"762","Deurne",44,32474,135.5,"2020-04-05"
"150","Deventer",26,100718,25.8,"2020-04-05"
"384","Diemen",4,30781,13,"2020-04-05"
"1774","Dinkelland",16,26470,60.4,"2020-04-05"
"221","Doesburg",4,11078,36.1,"2020-04-05"
"222","Doetinchem",6,58009,10.3,"2020-04-05"
"766","Dongen",11,26226,41.9,"2020-04-05"
"505","Dordrecht",46,119300,38.6,"2020-04-05"
"498","Drechterland",1,19717,5.1,"2020-04-05"
"1719","Drimmelen",14,27274,51.3,"2020-04-05"
"303","Dronten",15,41569,36.1,"2020-04-05"
"225","Druten",16,18918,84.6,"2020-04-05"
"226","Duiven",5,25124,19.9,"2020-04-05"
"1711","Echt-Susteren",25,31618,79.1,"2020-04-05"
"385","Edam-Volendam",14,36201,38.7,"2020-04-05"
"228","Ede",37,117166,31.6,"2020-04-05"
"317","Eemnes",1,9247,10.8,"2020-04-05"
"770","Eersel",18,19314,93.2,"2020-04-05"
"1903","Eijsden-Margraten",32,25753,124.3,"2020-04-05"
"772","Eindhoven",87,234456,37.1,"2020-04-05"
"230","Elburg",5,23161,21.6,"2020-04-05"
"114","Emmen",9,107055,8.4,"2020-04-05"
"388","Enkhuizen",14,18592,75.3,"2020-04-05"
"153","Enschede",37,159734,23.2,"2020-04-05"
"232","Epe",11,33186,33.1,"2020-04-05"
"233","Ermelo",12,27005,44.4,"2020-04-05"
